"H.1.","H.2.a ","H.2.b","H.3.","H.4","H.5.","H.6. ","H.7.","H.8.","H.9.a.","H.9.b.","H.9.c.","H.9.d. ","H.10.","H.11.","ID"
"07","1900","1900","30","1","GsEp","2","2","1","2.5","99","99","99","2.5","NA","151XXXXDR"
"04","1940","1940","30","2","Dr","2","1","1","3","1","1","1","3","NA","154XXXXAD"
"07","1835","1835","-90","2","Vo","1","2","1","3","99","99","99","3","NA","156XXXXSK"
"08","GEN","GEN","-30, -60, -90","2","Ea","1","2","1","1","1","1","1","1","2","156XXXXSK"
"09","GEN","GEN","-30, -60","2","Fl","2","2","1","1","1","1","1","1","5","156XXXXSK"
"03","1870","1870","60","2","TW","1","2","1","3","99","3","4","4","NA","158SB05AD"
"04","1882","1882","60","2","Ea","1","2","1","99","99","99","99","4","NA","158SB05AD"
"02","GEN","GEN","-30, -60","2","Dr","2","1","1.5","3","99","99","99","3","5","159XXXXSK"
"03","1940","1949","-30","2","Dr","2","1","1","4","99","3","99","4","NA","159XXXXSK"
"23","GEN","GEN","-30, -60, -90","1","Ea","1","2","1","0.5","99","4","4","4","2","160XXXXSK"
"24","GEN","GEN","-60, -90","1","Hu","2","2","1.5","4","4","4","4","4","3","160XXXXSK"
"06","1915","1915","-30","1","Hu","2","2","1.5","4","99","99","4","4","NA","160XXXXSK"
"08","1932","1932","-30","2","Hu","2","2","1.5","4","99","2","4","4","NA","160XXXXSK"
"16","1935","1935","-30","1","PE","1","1","1","0.5","3","99","99","3","NA","160XXXXSK"
"09","1935","1935","-30","1","Hu","2","2","1.5","4","99","99","4","4","NA","160XXXXSK"
"Hz-09","GEN","GEN","-30, -60","2","FL","2","1.5","3","1","3","2","1","3","4","162XXXXCH.XX.DR"
"02","GEN","GEN","-30, -60","1","Dr","2","1","1","4","99","99","99","4","4","164XXXXSK"
"03","1928","1928","30","2","Wi","2","2","1","2","2","1","1","2","NA","165SR15AD"
"01","GEN","GEN","30,60","2","Fl","2","2","3","2","1","1","1","2","5","167SQ19DR"
"03","GEN","GEN","30, 60","2","Fl","2","2","1","0.5","1","1","2","2","5","168XXXXAD"
"03","1878","1878","-90","2","Dr","2","1","1","4","99","99","99","4","NA","172SF05SK"
"04","1939","1942","-30","2","Dr","2","1","1","4","99","99","99","4","NA","172SF05SK"
"01","GEN","GEN","-30, -60","2","Dr","2","1","1","4","99","99","99","4","5","172SF05SK"
"06","GEN","GEN","-30, -60","2","ER","2","2","1","3","99","99","99","3","5","172SF05SK"
"07","GEN","GEN","-30, -60","2","Ha","2","2","1","3","99","99","99","3","4","172SF05SK"
"08","GEN","GEN","-30, -60","2","Fr","2","2","1","3","99","99","99","3","4","172SF05SK"
"03","GEN","GEN","30,60","2","Fl","2","2","3","2","2","1","1","2","5","173XXXXDR"
"01","GEN","GEN","30, 60","2","Lo","1","2","1","4","1","1","1","4","4","182XXXXDR"
"02","GEN","GEN","30, 60","2","PE","1","2","1","3","2","1","1","3","4","182XXXXDR"
"04","GEN","GEN","30, 60","2","Dr","2","1","1","3","2","99","1","3","4","182XXXXDR"
"05","GEN","GEN","30, 60","2","Fl","2","2","1","3","99","99","2","3","4","182XXXXDR"
"Hz-04","GEN","GEN","-30, -60","2","Vo","1","2","1","3","99","99","99","3","3","184XXXXSK"
"Hz-07","GEN","GEN","-30, -60","2","PE","1","2","3","3","99","99","99","3","3","184XXXXSK"
"Hz-06","1944","1944","-30","2","Fi","2","2","1","3","3","99","99","3","NA","184XXXXSK"
"Hz-05","1948","1948","-30","2","SEW","2","1","1","3","3","99","99","3","NA","184XXXXSK"
"Hz-02","1948","1954","-30","2","PD","1","1","1","4","99","99","99","4","NA","184XXXXSK"
"04","GEN","GEN","-30, -60","2","SEW","2","1","1.5","99","1","99","1","1","5","185XXXXCH.XX.DR"
"05","GEN","GEN","-30, -60","2","Vo","1","2","1","1","2","1","1","2","3","185XXXXCH.XX.DR"
"06","GEN","GEN","-30, -60","2","FL","2","99","3","1","1","1","1","1","5","185XXXXCH.XX.DR"
"07","1867","1867","-30","2","SEW","2","1","1.5","2","1","1","1","2","NA","185XXXXCH.XX.DR"
"08","1870","1870","-30","2","Fi","1","2","1","2","1","1","1","2","NA","185XXXXCH.XX.DR"
"09","1870","1870","-30","2","SS","2","2","1.5","2","1","1","1","2","NA","185XXXXCH.XX.DR"
"10","1870","1870","-30","2","FL","2","99","3","1","2","1","1","2","NA","185XXXXCH.XX.DR"
"11","1870","1870","-30","2","Vo","1","1","3","1","1","1","1","1","NA","185XXXXCH.XX.DR"
"02","GEN","GEN","-30, -60","2","RS","2","2","1","1","99","3","99","3","3","186XXXXSK.XX.DR"
"01","1958","1958","-30","3","DRn","2","1","1.5","2","1","1","1","2","NA","XXXAD05CH"
"02","GEN","GEN","-30, -60","3","Hu","2","2","1.5","4","1","99","99","4","5","XXXAD05CH"
"03","GEN","GEN","-30, -60","3","Fi","1","2","1","1","1","1","2","2","3","XXXAD05CH"
"04","GEN","GEN","-30, -60","3","Dr","2","1","1","2.5","1","99","1","2.5","4","XXXAD05CH"
"05","GEN","GEN","-30, -60","3","Fl","2","2","1.5","1","1","99","2","2","5","XXXAD05CH"
"03","1897","1897","-30","2","Ea","1","2","1","99","99","4","4","4","NA","XXXAR07SK.DR"
"04","1885","1900","-30","2","PD","1","99","1","1.5","4","99","99","4","NA","XXXAR07SK.DR"
"03","GEN","GEN","-30, -60","2","Dr","2","2","3","1","1","1","1","2","2","XXXAX04CH"
"04","GEN","GEN","-30, -60","2","GsEp","2","1.5","3","1","99","99","2","1","5","XXXAX04CH"
"01","GEN","GEN","-30, -60, -90","2","Do","2","1","1","4","4","99","1","4","1","XXXEF06CH"
"02","GEN","GEN","-30, -60","2","Wi","2","1.5","3","2","1","1","1","2","5","XXXEF06CH"
"04","1846","1848","-90","3","PD","1","1","1","4","99","4","1","4","NA","XXXES10SK.CH"
"05","1862","1862","-60","3","Wi","2","2","1.5","0.5","3","3","3","3","NA","XXXES10SK.CH"
"07","1882","1882","-60","3","Wi","2","2","1.5","3.5","99","99","3.5","3.5","NA","XXXES10SK.CH"
"08","GEN","GEN","-30, -60, -90","3","PD","1","1","1","3.5","99","99","99","3.5","4","XXXES10SK.CH"
"09","GEN","GEN","-30, -60, -90","3","Wi","2","2","1.5","3.5","99","3","3","3.5","4","XXXES10SK.CH"
"01","GEN","GEN","-30, -60","2","Dr","2","1","1.5","2.5","99","99","99","2.5","5","XXXFA16CH"
"02","GEN","GEN","-30, -60","2","Lo","1","2","1","4","99","99","99","4","2","XXXFA16CH"
"03","GEN","GEN","-30, -60","2","To","2","2","1.5","99","99","99","99","99","5","XXXFA16CH"
"04","GEN","GEN","-30, -60","2","SE","2","2","1.5","2","99","99","99","2","5","XXXFA16CH"
"01","1956","GEN","-30, -60","1","Dr","2","1","1","4","99","4","99","4","3","XXXMS14CH"
"01","1912","1914","-30","2","Dr","2","1","1","4","99","99","99","4","NA","XXXMT09CH.SK"
"02","1912","1914","-30","2","Lo","1","2","1","4","99","99","99","4","NA","XXXMT09CH.SK"
"04","GEN","GEN","-30, -60","2","Dr","2","1","1","3","99","99","1","3","3","XXXMT09CH.SK"
"01","1928","GEN","-30, -60, -90","2","ER","2","1","1","4","99","99","99","4","4","XXXMW11CH.SK"
"02","1845","1845","-60","1","GAC","2","2","1","0.5","99","3","4","4","NA","XXXNA12SK"
"03","1850","1850","-30","1","GAC","2","2","1","0.5","99","3","99","3","NA","XXXNA12SK"
"04","1853","1853","-30","1","TW","2","2","1","0.5","99","4","99","4","NA","XXXNA12SK"
"05","1874","1874","-30","1","TW","2","2","1","0.5","99","4","99","4","NA","XXXNA12SK"
"16","GEN","GEN","-30, -60","2","Ea","1","2","1","0.5","99","2","99","2","3","XXXNA12SK"
"17","GEN","GEN","-30, -60","1","TW","2","2","1","0.5","99","3","3","3","4","XXXNA12SK"
"18","GEN","GEN","-30, -60","1","FL","2","2","1","0.5","99","3","3","3","4","XXXNA12SK"
"19","GEN","GEN","-30, -60","1","Av","2","2","1","0.5","99","3","99","3","5","XXXNA12SK"
"20","GEN","GEN","-30, -60","1","GAC","2","2","1","0.5","99","3","3","3","4","XXXNA12SK"
"21","GEN","GEN","-30, -60","1","SEW","2","1","1","3","99","99","99","3","2","XXXNA12SK"
"22","GEN","GEN","-30, -60","1","RS","2","2","1","0.5","99","2","99","2","5","XXXNA12SK"
"02","GEN","GEN","-30, -60","2","Dr","2","99","1","99","99","99","99","99","99","XXXNM09SK"
"03","GEN","GEN","-30","2","Dr","2","1","1","3","99","99","99","3","3","XXXNT09SK.DR"
"01","1860","1862","-60","2","Dr","2","1","1","4","99","99","99","4","NA","XXXNT09SK.DR"
"02","1866","1868","-60","2","Dr","2","1","1","4","99","99","99","4","NA","XXXNT09SK.DR"
"01","GEN","GEN","-30","1","Fr","2","2","1.5","3","1","1","1","3","2","XXXNU33CH.DR"
"02","GEN","GEN","-30, -60, -90","1","Dr","2","1","1","4","99","99","1","4","4","XXXNU33CH.DR"
"03","GEN","GEN","-30, ","1","Ha","2","2","1.5","2.5","99","99","99","2.5","2","XXXNU33CH.DR"
"08","GEN","GEN","30","1","PE","1","2","3","2","1","1","1","2","5","XXXNU33CH.DR"
"04","GEN","GEN","-30, -60, -90","2","Ea","1","2","1","1","99","1.5","2","2","4","XXXNU44SK.DR"
"05","GEN","GEN","-30, -60","2","Dr","2","1","1.5","3","99","99","99","3","3","XXXNU44SK.DR"
"06","GEN","GEN","-30, -60, -90","2","FL","2","2","3","99","99","1.5","2","2","5","XXXNU44SK.DR"
"02","1931","1931","-30","2","Ea","1","2","1","1","99","1.5","2.5","2.5","NA","XXXNU44SK.DR"
"03","GEN","GEN","-30, -60","2","Dr","2","1","1","3","99","99","3","3","5","XXXOQ06SK"
"04","GEN","GEN","-30, -60, -90","2","RS","2","2","1.5","0.5","99","99","3","3","5","XXXOQ06SK"
"05","GEN","GEN","-30, -60, -90","2","Hu","2","2","1.5","4","99","3","99","4","2","XXXOQ06SK"
"06","GEN","GEN","-30, -60, -90","2","TW","2","2","1.5","0.5","99","99","3","3","2","XXXOQ06SK"
"02","1820","1820","-90","1","SEW","2","1","99","4","1","99","1","4","NA","XXXRV02CH"
"03","1860","1860","-60","1","FL","2","1.5","1.5","1","1","1","1","1","NA","XXXRV02CH"
"04","1861","1862","-60","1","CP","2","99","1","4","4","99","1","4","NA","XXXRV02CH"
"05","1882","1882","-30","1","FL","2","1.5","3","4","4","99","4","4","NA","XXXRV02CH"
"06","1883","1883","-30","1","FL","2","1.5","3","1","1","1","4","4","NA","XXXRV02CH"
"07","1885","1885","-30","1","Fr","2","2","3","4","1","99","1","4","NA","XXXRV02CH"
"08","1886","1886","-30","1","Dr","2","1","3","4","99","99","1","4","NA","XXXRV02CH"
"09","1886","1886","-30","1","Fr","2","2","3","4","1","99","1","4","NA","XXXRV02CH"
"10","1887","1887","-30","1","Dr","2","1","3","4","99","99","1","4","NA","XXXRV02CH"
"11","1887","1887","-30","1","Fr","2","2","3","4","1","99","1","4","NA","XXXRV02CH"
"12","1887","1887","-30","1","ER","2","1","1.5","4","1","99","1","4","NA","XXXRV02CH"
"13","1887","1887","-30","1","Sm","2","99","1.5","1","1","1","1","1","NA","XXXRV02CH"
"14","1888","1888","-30","1","Fr","2","2","3","4","1","99","1","4","NA","XXXRV02CH"
"15","GEN","GEN","-30, -60","1","Sm","2","99","3","1","1","1","1","1","5","XXXRV02CH"
"16","GEN","GEN","-30, -60","1","Wi","2","1.5","3","2","1","2","1","2","3","XXXRV02CH"
"17","GEN","GEN","-30, -60","1","SS","2","2","1.5","1","1","2","1","2","99","XXXRV02CH"
"18","GEN","GEN","-30, -60","2","SEW","2","1","3","4","4","99","1","4","5","XXXRV02CH"
"20","GEN","GEN","-30, -60","1","FL","2","1.5","3","99","1","1","2","2","3","XXXRV02CH"
"21","GEN","GEN","-30, -60","1","Dr","2","1","3","4","99","99","1","4","5","XXXRV02CH"
"22","GEN","GEN","-30, -60","1","ER","2","1","1.5","4","1","99","1","4","4","XXXRV02CH"
"23","GEN","GEN","-30, -60","1","PE","1","1.5","3","2","1","1","2","2","5","XXXRV02CH"
"24","GEN","GEN","-30, -60, -90","1","Fr","2","2","3","4","1","99","1","4","5","XXXRV02CH"
"07","GEN","GEN","-30, -60","2","DRn","2","1","1","99","99","99","99","99","99","XXXSC07CH"
"01","GEN","GEN","-30","2","SEW","2","1","1.5","2","99","2","99","2","2","XXXSH04SK.CH"
"07","GEN","GEN","-30","2","FL","2","2","1.5","0.5","99","99","4","4","4","XXXSI07SK"
"08","GEN","GEN","-30","2","Dr","2","1","1.5","3","99","99","99","3","4","XXXSI07SK"
"10","GEN","GEN","-30","1","SDS","2","2","1.5","0.5","99","99","99","0.5","5","XXXSI07SK"
"01","1950","1951","-30","3","Dr","2","1","1","4","4","99","99","4","NA","XXXSO11SK"
"02","GEN","GEN","30, 60","3","Dr","2","1","1","3","3","99","99","3","5","XXXSO11SK"
"03","GEN","GEN","30, 60","3","GsEp","2","2","1.5","3","99","99","99","3","5","XXXSO11SK"
"02","GEN","GEN","30","2","Fl","2","99","3","99","1.5","1","2","2","5","XXXSP08CH.DR"
