"SCCS.Name","PSF.Cluster.Number","OWC","eHRAF.Name","Principle.Authorities","Place.Focus","Ethnographic.Present","Coder","Coding.Date","Revision.Date","ID","EA.ID","PSF.Cluster"
NA,"14","MS14","Kanuri","Cohen 1960","Not Specified (Bornu State?)","1956","CH",2022-10-21,NA,207,"Cb19","14"
"Sanusi","16","MT09","Libyan Bedouin ","Evans-Pritchard 1949, Murray 1935","Not Specified (Cyrenaica, Libya)","1920","Resolved between CH and SK",2023-01-09,NA,NA,NA,NA
NA,"15","MW11","Shluh","Montagne 1930","Shluh tribes living in the Grand ì Atlas, Anti-Atlas, and Sous River Valley regions","1920","Resolved between CH and SK",2023-01-09,NA,209,"Cd05","15"
NA,"43","NA12","Tlingit","Krause 1956","Chilkat Village, Klukwan/Southeastern Alaska","1880","SK",2022-10-14,NA,210,"Nb22","43"
NA,"45","NF06","Blackfoot","Ewers 1958, 1955, Goldfrank 1966, Grinnell 1962, Hungry Wolf 1977, Lancaster 1966, Wissler 1910, 1912, 1918","Blackfeet Indian Reservation, Montana, United States","1850","SK",2022-10-11,NA,211,"Ne12","45"
NA,"47","NM09","Iroquois","Morgan 1901 (vs 1 and 2)","Iroquois Reservations","1750","SK",2022-12-02,NA,212,"Ng10","47"
NA,"48","NT09","Hopi","H2022","Southwest and Basin","1920","Resolved between SK and DR",2023-01-09,NA,213,"Nh18","48"
NA,"49","NU33","Tarahumara","Bennet and Zingg 1935","Chihuahua, Mexico","1930","Resolved between CH and DR",2023-01-09,NA,214,"Ni01","49"
NA,"50","NU44","Zapotec","Parsons 1970","Mitla","1940","Resolved between SK and DR",2023-01-09,NA,215,"Nj10","50.b"
NA,"39","OQ06","Lau Fijians","Bryan 9999, Hocart 1929, Thompson 1940","Lau Island","1920","SK",2022-10-20,NA,217,"Ih04","39"
NA,"23","RV02","Yakut","Jochelson 1933 (EA entire)expanded:Sieroszewski 1993Wrangal and Sabine 1842","Siberia, Russia","1900","CH",2022-10-31,NA,218,"Ec02","23"
NA,"52","SC07","Kogi","Reichel-Dolomatoff and Muirden 1950, 1951;Park 1965","Sierra Nevada De Santa Marta, Colombia","1940","CH",2022-10-30,NA,219,"Sb02","52"
NA,"54","SH04","Ona","Gusinde 1931","Not specified (in EA) PA lists Tierra del Fuego","1880 (in EA), PA lists 1919-23","Resolved between SK and CH",2023-01-09,NA,220,"Sg03","54"
NA,"55","SI07","Mataco","Karsten 1932, Pelleschi 1897","Not specified","1860","SK",2022-10-20,NA,221,"Sh01","55"
NA,"18b","SO11","Bahia Brazilians","H2022","Eastern South America","1952 (1935 also listed in EA)","SK",2022-10-11,NA,222,"So11","18b"
NA,"57","SP08","Bororo","Lévi-Strauss 1938; Baldus and Lillios 1937","Kejara","1920","Resolved between CH and DR",2023-01-09,NA,223,"Si01","57"
